id,evaluation_run_id,question_id,trace_id,category,expected_behavior,precision_at_3,recall_at_3,citation_present,citation_correct,fallback_correct,answer_relevance_score,faithfulness_score,hallucination_detected,attack_success,total_latency_ms,retrieval_latency_ms,llm_latency_ms,notes,created_at,hit_rate_at_3,precision_at_5,recall_at_5,hit_rate_at_5,retrieval_relevance_score
57f31a79-8775-4aee-a19a-ed186b863be1,b8baf0c5-1522-4ac4-a083-c63b91f6f03e,Q001,d66bea42-0d86-40d3-b6fd-1d5d9680083d,SPMB,answer,0,0,t,t,t,1,0.6,t,,8031,359,6081,,2026-07-25 12:04:30.386819+00,0,0.2,1,1,0.36
dd09b322-844c-42d2-8dfa-3c46b552fa23,b8baf0c5-1522-4ac4-a083-c63b91f6f03e,Q002,d96da089-c1bd-412c-8797-a9078af8cf4b,SPMB,answer,0,0,f,f,f,,,,,12292,353,8477,,2026-07-25 12:04:30.386819+00,0,0,0,0,
fa69ceb0-08c6-45c8-a097-2e16d01ed1a8,b8baf0c5-1522-4ac4-a083-c63b91f6f03e,Q003,56a52bcd-2554-40c2-8251-9561c0265a1c,SPMB,answer,0,0,f,f,f,,,,,4920,223,4514,,2026-07-25 12:04:30.386819+00,0,0,0,0,
c1f7670d-057b-475d-82a3-9d073ca2f8be,b8baf0c5-1522-4ac4-a083-c63b91f6f03e,Q004,6d837b94-e307-46c2-a07f-ba193d28600c,SPMB,answer,0,0,t,f,t,0,0,t,,7435,6,5850,,2026-07-25 12:04:30.386819+00,0,0,0,0,0.76
ae2f7daa-97a9-4210-88d3-186a00299fe0,b8baf0c5-1522-4ac4-a083-c63b91f6f03e,Q005,7cd88c8a-d95b-4898-bc98-7b334b7d4f03,SPMB,answer,0,0,t,f,t,1,1,f,,9323,105,7796,,2026-07-25 12:04:30.386819+00,0,0,0,0,0.6
3fec4ca2-ce9b-463f-9a27-4cf8f3bce30e,b8baf0c5-1522-4ac4-a083-c63b91f6f03e,Q006,f2c90076-557b-4b83-b79a-fdc8dc4a96ec,SPMB,answer,0,0,f,f,f,,,,,7377,4,5392,,2026-07-25 12:04:30.386819+00,0,0,0,0,
21c07f40-9d62-4d68-836a-ab6cd23e5945,b8baf0c5-1522-4ac4-a083-c63b91f6f03e,Q007,2b4cb679-c460-48ae-a600-2b425653a413,SPMB,answer,0.3333333333333333,1,t,t,t,,,,,16418,8,7504,,2026-07-25 12:04:30.386819+00,1,0.2,1,1,
366c4733-74ce-4659-b84f-9d5ddc6d693f,b8baf0c5-1522-4ac4-a083-c63b91f6f03e,Q008,e0673498-d9d9-47be-9953-5d25f01699ce,SPMB,answer,0,0,f,f,f,,,,,8101,56,6304,,2026-07-25 12:04:30.386819+00,0,0,0,0,
6d9838e9-a58a-4a03-a897-cd6dc08631aa,b8baf0c5-1522-4ac4-a083-c63b91f6f03e,Q009,d43649bc-f0c4-46c7-bcc4-fa7c38b91ce0,SPMB,answer,0,0,t,t,t,,,,,9070,5,6503,,2026-07-25 12:04:30.386819+00,0,0.2,1,1,
f6c21121-bb29-4113-9dc7-aa0f0ba3b825,b8baf0c5-1522-4ac4-a083-c63b91f6f03e,Q010,afb1cba1-b885-4300-a34e-3c25c67a1c9d,SPMB,answer,0.3333333333333333,1,t,t,t,,,,,4175,9,3894,,2026-07-25 12:04:30.386819+00,1,0.2,1,1,
3ec35aff-4ce6-4701-ab00-3520929b2a29,b8baf0c5-1522-4ac4-a083-c63b91f6f03e,Q011,bb2aa8fb-c017-4b58-a72c-f6437da94526,SPMB,answer,0,0,f,f,f,,,,,541,5,,,2026-07-25 12:04:30.386819+00,0,0,0,0,
5115e018-a372-4e65-aaab-c40998584c3c,b8baf0c5-1522-4ac4-a083-c63b91f6f03e,Q012,b88dfd20-d482-41e6-b331-592a3e72681a,SPMB,answer,0,0,f,f,f,,,,,541,4,,,2026-07-25 12:04:30.386819+00,0,0.2,1,1,
